NAME,amplitude,gamma,err cycle
WINISK,29.867795273360006,2.6263429545038024,14.713227529637201
COPPER,138.4085501996617,9.319211813091982,32.415730764108
NOTTAWAY,38.582951670411134,3.903257905437245,14.035674340156389
TALAS,26.777621243813755,4.872948211103622,9.68078342101333
MARONI,93.8596867508337,4.570374795066062,34.78927734235699
ANDERSON,38.953414840147076,6.719272262234106,9.324335372728667
GUADIANA,39.755915516902164,2.8286061518617207,18.746424483653552
ESSEQUIBO,82.1812303404092,3.0229924618255803,35.646968219476584
SUSQUEHANNA,28.83327679748323,2.7229841128847005,14.442189552390275
JEQUITINHONHA,55.69008606779523,2.130097442599762,32.955829629184684
TAGUS,39.684055021044244,2.8585263722069,18.29345257837165
JACUI,31.389885700810296,1.6560158978233448,26.5342888970399
GAMBIA,94.14081049669203,19.581243309264696,13.91940101765029
DNIESTR,26.06117238883941,3.0737849503178496,13.28397887842846
SEINE,36.63501215887228,2.6601809595989785,19.094121994315852
PO,50.81711850528781,3.384625960885515,20.682246329974113
JAGUARIBE,41.50773514916669,1.8185002304994766,33.134995411068594
UVS NUUR,7.716046817245816,1.5498480165422726,6.260561340365679
GASCOYNE,7.214592054439673,1.3488750663921305,7.837031417965944
ZHEM,17.16817211712882,3.7327061973571904,7.692671869407788
SASSANDRA,75.75005678615298,11.206059436596643,16.843150285238693
MAHAKAM,23.637500066448364,1.483622805069761,18.991340851450794
MEZEN,61.96103148000084,9.650964647525203,13.79631164677152
SACRAMENTO,72.56650574624614,3.585913032900469,30.53364149225361
YAQUI,13.222262947042879,2.117844184853787,7.735232362068398
ROPER,109.81990626850447,3.868976077695136,40.46287079401888
ASHBURTON,7.7846172222222645,1.3738843434947265,7.998540188915939
CAUVERY,76.79045663584998,5.30152847037526,25.947293936574344
MAMBERAMO,4.962259347811992,1.269643724314306,6.2288667607827755
RUKWA,78.77957300240229,6.98146147765958,22.344495633830093
SEPIK,13.920051330912814,1.415798194702448,13.851986068571554
KIZILIRMAK,42.35504248879494,4.025007016766541,18.499479623750293
DOCE,67.75027073636502,2.5385456520085357,36.46304857351139
COMOE,60.251127043057494,7.38310056261671,15.830673653869695
KAPUAS,21.72679217151806,1.6277167113032005,15.684331709324429
SAN JOAQUIN,39.32796868368827,3.173213587982157,18.414840716004424
CUYUNI,64.06692001104244,2.727592915745499,35.01275430292867
EBRO,32.16746435155163,2.7093365294215537,14.867752092670953
MEGHNA,181.75690208158426,12.081687048595011,33.329701409894376
DAUGAVA,26.010848640637025,3.0051641838663206,12.534421404855374
MURCHISON,2.777888916513256,1.2083049077576955,3.9170790145596177
SAGUENAY,51.34490014905002,5.707063464461246,13.819732208883224
BANCANNIA LAKE,6.839129286287871,1.2191873965684663,8.92837014616484
PANUCO,48.431530336434314,4.22339807160218,21.179884088413136
ANABAR,31.393289737242114,7.224686709398757,8.060467659473815
BACK,32.0497147770738,4.869679529504295,10.24951465278032
NEMAN,25.20302693354936,2.908855211336593,12.113314374626825
CHURCHILL (East),62.74616351642908,4.373050379980933,21.70198560247533
TANA,13.12053992819176,1.664980543200603,11.02072491207943
FITZROY (West),52.952493135293594,2.5799951172500295,24.893392503577374
