NAME,P_GPM 2000-06-15,P_GPM 2000-07-15,P_GPM 2000-08-15,P_GPM 2000-09-15,P_GPM 2000-10-15,P_GPM 2000-11-15,P_GPM 2000-12-15,P_GPM 2001-01-15,P_GPM 2001-02-15,P_GPM 2001-03-15,P_GPM 2001-04-15,P_GPM 2001-05-15,P_GPM 2001-06-15,P_GPM 2001-07-15,P_GPM 2001-08-15,P_GPM 2001-09-15,P_GPM 2001-10-15,P_GPM 2001-11-15,P_GPM 2001-12-15,P_GPM 2002-01-15,P_GPM 2002-02-15,P_GPM 2002-03-15,P_GPM 2002-04-15,P_GPM 2002-05-15,P_GPM 2002-06-15,P_GPM 2002-07-15,P_GPM 2002-08-15,P_GPM 2002-09-15,P_GPM 2002-10-15,P_GPM 2002-11-15,P_GPM 2002-12-15,P_GPM 2003-01-15,P_GPM 2003-02-15,P_GPM 2003-03-15,P_GPM 2003-04-15,P_GPM 2003-05-15,P_GPM 2003-06-15,P_GPM 2003-07-15,P_GPM 2003-08-15,P_GPM 2003-09-15,P_GPM 2003-10-15,P_GPM 2003-11-15,P_GPM 2003-12-15,P_GPM 2004-01-15,P_GPM 2004-02-15,P_GPM 2004-03-15,P_GPM 2004-04-15,P_GPM 2004-05-15,P_GPM 2004-06-15,P_GPM 2004-07-15,P_GPM 2004-08-15,P_GPM 2004-09-15,P_GPM 2004-10-15,P_GPM 2004-11-15,P_GPM 2004-12-15,P_GPM 2005-01-15,P_GPM 2005-02-15,P_GPM 2005-03-15,P_GPM 2005-04-15,P_GPM 2005-05-15,P_GPM 2005-06-15,P_GPM 2005-07-15,P_GPM 2005-08-15,P_GPM 2005-09-15,P_GPM 2005-10-15,P_GPM 2005-11-15,P_GPM 2005-12-15,P_GPM 2006-01-15,P_GPM 2006-02-15,P_GPM 2006-03-15,P_GPM 2006-04-15,P_GPM 2006-05-15,P_GPM 2006-06-15,P_GPM 2006-07-15,P_GPM 2006-08-15,P_GPM 2006-09-15,P_GPM 2006-10-15,P_GPM 2006-11-15,P_GPM 2006-12-15,P_GPM 2007-01-15,P_GPM 2007-02-15,P_GPM 2007-03-15,P_GPM 2007-04-15,P_GPM 2007-05-15,P_GPM 2007-06-15,P_GPM 2007-07-15,P_GPM 2007-08-15,P_GPM 2007-09-15,P_GPM 2007-10-15,P_GPM 2007-11-15,P_GPM 2007-12-15,P_GPM 2008-01-15,P_GPM 2008-02-15,P_GPM 2008-03-15,P_GPM 2008-04-15,P_GPM 2008-05-15,P_GPM 2008-06-15,P_GPM 2008-07-15,P_GPM 2008-08-15,P_GPM 2008-09-15,P_GPM 2008-10-15,P_GPM 2008-11-15,P_GPM 2008-12-15,P_GPM 2009-01-15,P_GPM 2009-02-15,P_GPM 2009-03-15,P_GPM 2009-04-15,P_GPM 2009-05-15,P_GPM 2009-06-15,P_GPM 2009-07-15,P_GPM 2009-08-15,P_GPM 2009-09-15,P_GPM 2009-10-15,P_GPM 2009-11-15,P_GPM 2009-12-15,P_GPM 2010-01-15,P_GPM 2010-02-15,P_GPM 2010-03-15,P_GPM 2010-04-15,P_GPM 2010-05-15,P_GPM 2010-06-15,P_GPM 2010-07-15,P_GPM 2010-08-15,P_GPM 2010-09-15,P_GPM 2010-10-15,P_GPM 2010-11-15,P_GPM 2010-12-15,P_GPM 2011-01-15,P_GPM 2011-02-15,P_GPM 2011-03-15,P_GPM 2011-04-15,P_GPM 2011-05-15,P_GPM 2011-06-15,P_GPM 2011-07-15,P_GPM 2011-08-15,P_GPM 2011-09-15,P_GPM 2011-10-15,P_GPM 2011-11-15,P_GPM 2011-12-15,P_GPM 2012-01-15,P_GPM 2012-02-15,P_GPM 2012-03-15,P_GPM 2012-04-15,P_GPM 2012-05-15,P_GPM 2012-06-15,P_GPM 2012-07-15,P_GPM 2012-08-15,P_GPM 2012-09-15,P_GPM 2012-10-15,P_GPM 2012-11-15,P_GPM 2012-12-15,P_GPM 2013-01-15,P_GPM 2013-02-15,P_GPM 2013-03-15,P_GPM 2013-04-15,P_GPM 2013-05-15,P_GPM 2013-06-15,P_GPM 2013-07-15,P_GPM 2013-08-15,P_GPM 2013-09-15,P_GPM 2013-10-15,P_GPM 2013-11-15,P_GPM 2013-12-15,P_GPM 2014-01-15,P_GPM 2014-02-15,P_GPM 2014-03-15,P_GPM 2014-04-15,P_GPM 2014-05-15,P_GPM 2014-06-15,P_GPM 2014-07-15,P_GPM 2014-08-15,P_GPM 2014-09-15,P_GPM 2014-10-15,P_GPM 2014-11-15,P_GPM 2014-12-15,P_GPM 2015-01-15,P_GPM 2015-02-15,P_GPM 2015-03-15,P_GPM 2015-04-15,P_GPM 2015-05-15,P_GPM 2015-06-15,P_GPM 2015-07-15,P_GPM 2015-08-15,P_GPM 2015-09-15,P_GPM 2015-10-15,P_GPM 2015-11-15,P_GPM 2015-12-15,P_GPM 2016-01-15,P_GPM 2016-02-15,P_GPM 2016-03-15,P_GPM 2016-04-15,P_GPM 2016-05-15,P_GPM 2016-06-15,P_GPM 2016-07-15,P_GPM 2016-08-15,P_GPM 2016-09-15,P_GPM 2016-10-15,P_GPM 2016-11-15,P_GPM 2016-12-15,P_GPM 2017-01-15,P_GPM 2017-02-15,P_GPM 2017-03-15,P_GPM 2017-04-15,P_GPM 2017-05-15,P_GPM 2017-06-15,P_GPM 2017-07-15,P_GPM 2017-08-15,P_GPM 2017-09-15,P_GPM 2017-10-15,P_GPM 2017-11-15,P_GPM 2017-12-15,P_GPM 2018-01-15,P_GPM 2018-02-15,P_GPM 2018-03-15,P_GPM 2018-04-15,P_GPM 2018-05-15,P_GPM 2018-06-15,P_GPM 2018-07-15,P_GPM 2018-08-15,P_GPM 2018-09-15,P_GPM 2018-10-15,P_GPM 2018-11-15,P_GPM 2018-12-15,P_GPM 2019-01-15,P_GPM 2019-02-15,P_GPM 2019-03-15,P_GPM 2019-04-15,P_GPM 2019-05-15,P_GPM 2019-06-15,P_GPM 2019-07-15,P_GPM 2019-08-15,P_GPM 2019-09-15,P_GPM 2019-10-15,P_GPM 2019-11-15,P_GPM 2019-12-15
KHATANGA,,,30.757337419083925,41.92021092920092,42.31980405841763,30.230902929234286,14.552175341778028,15.906300963489723,26.019700104210987,20.93002649195786,41.84699403302621,32.182768770707945,43.95639709801958,57.33794705732583,55.01370098874641,43.49881068167339,30.746047723210932,38.89836304401855,31.752956044541747,20.94316278339456,33.61171006776147,29.22860973014919,44.42932552004743,46.601089176139425,44.55371732438362,66.01695145064735,47.86612630398884,48.45864622292858,31.082008251142724,31.63570074780572,22.914646134632655,23.56465800293373,27.843108197982225,20.547571002124396,45.6166391832884,39.764361304498195,33.31730393180754,61.163646176316306,66.69117686790514,35.59137882395432,52.270816057152615,30.009047286999177,38.868750009145174,33.23263816672886,21.20596046166325,22.30628309973677,29.149174478708172,29.465143378043503,35.63883288270452,61.07635383934917,60.85360984608163,39.24891435298831,40.26120280510523,38.74815092104667,25.589597132657175,27.10365080170796,22.45449331390672,28.462956024199983,34.12852547062276,34.50236992036061,45.80259902448448,57.569512965825496,53.46359084179948,33.09137151951863,44.39885885286017,27.892424803812396,14.530475932483778,14.564953673935493,19.409594068118157,13.878661280519555,10.152831808984917,33.625553051348426,28.08452138910081,39.20816358601597,62.93499635905218,59.15607742678193,44.64828666868075,50.24220276547394,38.38392075252731,47.52933789586267,27.007938819230656,26.930741326140385,38.21722902210581,44.089064332281055,44.368613756164,76.71153383506278,82.52686392840505,39.8885184713041,59.55047919474059,40.92839955150559,31.58412177550253,44.47617123902063,24.037615603295517,23.365153393258318,26.471554412941202,27.366480348780865,45.14287750288751,50.047401306492524,69.93388931925243,39.47139404941749,54.45696039897318,47.63317375291372,49.672746895590855,32.452904000607525,30.645145335358833,25.873836188496508,37.75768922383791,32.0902224035414,31.78098057833194,46.599884879822454,57.69528843384117,58.21868141603087,36.84007011616184,34.98154463943441,21.566608125786647,54.733547652343525,19.587980023279727,22.492375550424022,30.560123500333162,36.64402748636134,56.36434455195224,56.8369404672719,64.37784962287408,53.76583778195828,52.5488882974534,47.50214979522089,31.178785923539206,35.60703104696337,29.713485188309754,28.752214991297087,32.85444372313213,25.2253042364781,41.0190143352725,61.09333653447558,73.63464464339047,31.045245839922796,51.474667931376466,33.83969974481207,27.09823381916656,24.489383432977906,35.68092370982698,21.872545207821325,32.70194250591161,41.185810639806526,34.67684761373669,44.97106918568544,42.06535408969404,36.99462952177854,32.515615237024825,32.75201556084477,36.670277681945535,23.419287163198156,33.7405841643737,19.533502022310586,26.528650405372584,25.966610155954235,45.15179355576792,23.627485567817658,34.690136751231876,48.61636435521928,38.50292146595562,48.24845138732614,20.098891026554334,18.99287535819574,20.196997316262816,15.04190414983001,31.507859314020788,35.60257281605049,27.997574395916057,47.5853971127255,77.33732672554953,63.79234166593244,45.70692204937158,58.55317258033837,48.607868214019504,40.94891568615943,30.872452495833176,44.17179127823268,28.7516116508264,29.715483139945295,67.96325349348837,57.52989522471585,64.52345749063345,43.395406577722966,41.88174049684586,37.18161897071011,24.229838402965477,42.20736222531161,38.85994621133833,22.681402455918395,26.734541916481703,29.27112235801901,30.5441432176783,25.513416624532848,48.38215887531599,47.61560648659188,41.506018166549765,28.07126489106211,21.796693235361083,33.10790469422467,20.352717517991078,36.1741010436736,42.99248260395508,23.07651021758816,42.511202866697325,55.51423185038809,69.17060586151096,33.29110097981521,49.03606724977886,29.06757071614719,38.38124257436031,33.30470711568423,22.287045140254815,20.66894577766256,31.88722178399597,28.370562900877452,41.71412028677165,47.06099679520881,67.5098531722878,41.351615223264574,44.48081147676722,34.882775703199435,30.68696089323409,25.2501005224562,22.99685804702843,22.23764571025163,31.0938049641083,27.518986377426472,44.905305603300306,45.856080165581446,39.3246749216788,,,,
ODER RIVER,42.23801075161035,161.82656073956366,64.61700928103569,50.5834163739041,24.760652867068366,67.05352848593074,60.0380221106519,45.1246196856749,46.79235692416444,76.34370688410235,67.589352733199,60.53057142956097,90.11553622793814,147.94503866498698,70.34596176716423,133.1881708863615,29.0470084887252,51.80274957220566,65.26597522166341,63.04707139773672,104.07630650804924,49.238792752925384,45.90360411578239,73.3824338933742,71.50313787739819,76.67867014579949,102.85724141310497,56.301282088448424,93.44279861367563,67.7864247146267,32.29843113393473,73.2728662556902,10.584556175773104,27.095139062483405,31.965014416288817,60.79486135254702,33.581042082558085,98.82571361356514,34.534439264923805,36.409699260682586,60.408401999397725,32.47263422099297,72.28627781521318,83.60932624074026,75.08125123293608,60.297543846262556,38.04964255130452,66.56306030242423,71.88165431016978,74.04907562720457,69.52899438763536,36.08636648972851,49.70211956771302,86.00202630420091,45.844543659938964,86.87733403500664,74.71328294400018,33.68450813192827,31.018910954297446,92.15033666655145,48.07960047146309,109.58919787098056,66.57941658275257,38.81105863107757,13.120284455364756,40.611190888441854,133.7418641815926,36.46528981966707,53.76482794587634,54.878286376267795,61.930030690298715,57.61676601159448,58.153331283449,27.122408864849536,167.61405159093283,29.225740717694677,41.774740972027395,71.91370362772626,48.14996891671374,138.60853416806293,74.67264872941959,75.22420889798144,12.14937323947846,86.93713561459225,98.85451685537367,117.15474586090684,64.03800712916822,79.58940522247075,31.531911071592113,73.08746675663912,45.54391327820606,97.0549395969476,40.13908341195869,75.49614609695891,70.62928001724944,46.15654359550645,37.768396192449146,79.64486399198411,101.58357199104576,50.3644591411761,59.91786932149639,47.830085626187476,47.211499126369624,42.958678249581354,72.42380850392128,82.49623831858517,9.561449713647141,86.23144415326902,134.92344008775237,112.96946480754464,46.88618736555112,35.212246564269854,88.56667976182077,56.33441141558612,72.92659262905275,66.9674947728979,33.74035488906654,58.5356439928191,45.03807193619418,159.69292106712118,45.72449306187134,117.1693833382713,147.9785168712475,98.94122206468613,12.190019801647837,125.72537231804667,90.81074460070144,53.927049903756725,32.01195799709942,36.825413816305435,27.430892620223922,51.14832445784411,67.43601957087779,169.6576178938781,68.7171979598621,42.581070544128565,37.35192905360101,1.429046470522394,78.83903538654778,114.90048774537743,63.340022325279705,22.92958487625394,40.778984662429316,52.879313496284084,106.43676947259578,114.7528633468799,75.81549103945818,49.04241841353376,54.68253141845432,60.85232743178672,48.07322231186957,97.81630375074734,59.87576945628647,51.51886241739098,32.67686505012718,111.94822222507418,137.69060648412514,55.72874820217468,54.591097655596755,88.1315917682745,26.392015670137503,48.6755645162282,38.43040615887402,63.100902653523036,14.967139647729097,57.71812920705757,50.41724680965012,115.34385172912974,56.20969815441583,86.84254774731649,81.96368852873887,73.94965413636513,45.55844358305959,21.366821273222197,64.41944569984821,83.83857924763484,16.746648222108185,54.42995870312586,30.90027266171623,38.23032209370112,61.335852934361874,65.07599732806418,30.853442295506806,43.398024421279686,39.66696441302254,79.2082847393509,38.344763242086024,59.85997741980541,92.43734683019669,54.20510485429829,48.79384818961126,55.800021412159445,83.24673069661833,128.53653626611822,48.498307808578296,23.986156919955413,111.42549037448501,57.986784796004514,65.67038689491305,37.432571517724156,58.6447109780411,52.84870949010846,70.20572669864566,50.4527182715555,92.95149687694077,123.0894246782184,85.67900259527786,96.18949168103946,102.86383448513268,69.04133072479073,65.53023296338607,72.0444294578602,13.739678949730697,43.430448308575414,34.74838239736569,48.40934329613029,56.8095341715755,78.6621015058838,32.047789485753526,51.01231177134518,47.761931716967446,17.494769014183536,95.89643031851182,86.27335342713057,45.23857297387986,56.506242320173335,26.01408954151082,90.18193596343446,34.82480270028119,51.259897752733856,57.68614598789415,79.89687257995776,41.40170394299861,55.142508243591564,49.161598932083365
ELBE RIVER,50.30308407732997,99.63647172256938,66.19232430405074,59.81461860820251,54.23735960583913,44.13048912851192,50.3245108796887,60.226071343582056,59.2317349056917,109.61834349829496,65.3675046600527,52.32280947533366,83.77185456929888,96.59966279512562,72.72823223802708,127.61796700789343,37.54399146893205,76.78121287684282,106.5195092011075,56.664237046691255,124.85476233909182,61.6634473154882,51.97114020306696,68.96833819348284,77.72638023913856,98.45679005934055,177.73217221137676,55.361331717698135,101.61513483916153,128.1940394141413,81.04003577257296,98.16300732646896,19.165628266342612,27.612819315976918,32.23793855385516,59.07124189138746,50.06939722554984,73.97691473899476,28.162116261040858,49.28241762798565,61.38077217017453,33.58076179553528,66.91469451183599,124.30010555505501,69.74949031271326,47.713659683687865,38.27139299208299,76.841056100658,82.61997921278748,101.34595206345931,65.8915095959536,56.50773391705796,39.50639821853112,105.61489979411886,46.457783707948,108.0976025804006,90.21641592574964,39.58702477982949,35.022736085927555,87.77370231478633,55.33690614121058,136.88162921662732,79.95316652071295,62.37699848318594,27.005081458685357,46.04254774426396,95.93577589816222,42.37542816857614,71.42048254550916,88.8288603483098,67.27913389905679,87.2847743199995,63.36371854658477,42.536293881559025,127.85757135408633,23.48197799448742,51.78649886712562,57.830528018110115,46.914361621722094,127.64399240037046,80.78569716296519,70.70321373307814,5.1743068561887355,119.80138834037557,100.65748116684341,114.94387124126742,87.8228283044807,115.31009835857128,27.72438949352674,100.74420257381821,57.2016329544112,96.69221005192881,46.56288536938946,85.68284599858478,89.93623387951708,32.515927078964864,60.18842587591333,81.02145000062103,75.86804292394984,55.285693435668165,75.48612757737807,48.76069586900752,63.79291335767822,39.70895008449332,85.50162860950824,84.49941911819387,31.311246676236912,91.8156806661729,94.3754677112617,102.85198223122153,51.05219746077379,38.04191394634555,89.88059717190426,81.93988197554019,101.89398286859607,71.69532732906973,43.56650733830471,57.82361566952082,32.73758518707496,121.99469412132525,48.21634709128501,100.20004844179823,180.49203234642843,111.50216233024781,21.463568762232335,121.63358152258242,113.06806872811083,76.55177624128936,26.722573287614924,29.390289992840167,34.87618432605259,53.8441073471624,82.95092514639103,170.86905636836147,78.9782270142434,67.23094544112044,53.21094850918127,1.6801482518851523,109.62058070628481,138.18518073430616,48.16332845860953,17.684596265709402,41.14341797515262,53.223042206172465,96.91117330735078,121.50563562866961,68.75381276324163,46.247745304078975,49.288268939634484,67.4467977995261,101.0424768047485,107.6926537202179,73.94069112364717,43.28907915674918,38.23294388223575,139.93006305366205,132.63643831082018,44.072411718826615,67.61747759197311,73.63490796877277,69.04858901683217,68.92006367638321,42.336867071697064,48.750686053615425,19.03275511384034,30.997595420777703,45.13809244889846,114.47602489006783,48.51909640423363,114.30919902511626,90.01203250921114,78.08023610594937,59.42138943654538,18.982924724954092,74.6482561570856,98.71839932953158,15.218404608906704,63.256386720496124,42.28590635938675,38.25478237489918,64.7026169521586,72.2698286416461,78.23650086037469,43.00006799251765,65.30695779025133,111.78449840006837,39.01312398354741,80.08444627784816,89.766803330928,47.58395321847329,41.82811166212819,59.27914591469188,99.01912689934741,90.45080968556003,41.66996668972422,48.33403411614035,77.92923106019614,54.24437744228002,52.80311056570464,59.11846322108084,52.986637534037634,68.14370579473619,58.37621978069853,47.611382657684004,99.94627582510107,128.03487001343842,83.34656217175272,50.56748354945275,96.37723748769318,80.56590544947287,73.07454972282845,100.00786087302578,13.987251037818988,59.91886374732325,38.34289848068854,45.90170685805451,51.717787908823,41.955872450710736,36.614693578480015,50.36070094223093,31.088040347801524,20.755145626039646,121.5620140723138,105.27809704541608,41.48098150231102,79.35327603679453,25.879676214676586,72.69442293869335,53.686885413301226,55.090332919528805,56.148658321801534,64.17251766155972,64.86818992721678,57.12120449938222,54.65565848324027
COLUMBIA RIVER,31.28228667253634,15.435427320203907,9.264965022740153,39.07371952525732,57.934508535768295,36.561349518967035,51.16132355099426,35.23761151180684,31.26432622642644,45.20520007827698,51.93439344384509,27.594884981403236,48.67587802808825,27.03216469026301,10.939532187972944,18.258166809808134,58.103112264664226,77.49120799272498,94.29405973028214,84.45997914635525,45.653177340999854,58.46053162423379,43.186058491010236,42.36022289577463,40.42963868449468,15.20191581705993,16.595278994666735,25.89737718311629,14.708179250565015,42.43175448455982,96.81783613508676,95.82283915435441,44.80613032108762,87.22666773631067,64.7766968864465,42.23206643585036,20.351950673644982,7.082037900057083,16.56974560898853,25.606544099983243,46.19081031433748,66.25322702690448,91.98278767759349,89.58945769473385,51.250723613193195,34.268292138904684,32.43849962940567,73.21660141373962,41.085481340835024,20.78167360520391,57.47054080604868,45.82318471032361,58.47766470190477,41.870570568776,67.74308805631443,54.357835957689296,18.43501490286076,59.326187660389216,50.11318794327723,82.31471440785566,71.42160706044312,17.110920759186534,15.78404340947034,33.456853151407024,60.551196431833965,77.51009085234897,104.46058149468779,139.52055804695632,48.07634294156951,53.426268367712886,61.333124733241156,46.4293091916377,53.15853972378944,13.698819683921485,12.560062937375136,26.61251201067948,36.1198243897808,141.2951031040491,84.47743743378877,53.19250278196999,64.46783000684863,49.03947595983833,37.091493247611986,31.194553828815938,36.98150613905305,13.072435407494135,15.740897821337336,30.89654820267599,62.77485738502887,57.59370549670835,103.38049714724299,83.7411730720266,47.59234596447442,51.32940722412718,29.507017334425132,44.73033171724347,38.333591311724604,13.001784831734351,31.49142248424232,19.451175853609787,30.409883980163862,70.1518023815774,87.49561877034824,71.7244194061701,36.6711916541424,65.93079808738216,38.80681170095929,43.58019328368836,55.130025716451065,24.673896666051206,28.628938502605106,16.733694507726746,65.25595867663066,53.881917801632305,55.5968856092957,72.16547489196506,35.073549173719385,47.39011864642976,56.81035172950874,64.19522429301718,72.35138921151206,14.17091451237315,21.801685031688947,42.023319743454245,52.8668969794895,76.5446451035545,106.86583430307846,78.2997939357834,53.55619351468523,88.45328720331771,64.98128674059424,75.70754404192304,46.611687140910156,23.474134377627255,11.755610573879817,14.192614329672466,52.88568321704412,60.177904961805055,47.48391088672586,88.95678095831778,50.734276231656644,88.34631818556714,53.776643548077594,36.58726078910208,62.21530902412189,27.77263798088036,9.617391478410104,10.947639322777473,67.919005220791,77.85469786476217,85.98990572468001,50.09672274412409,34.40344238308071,36.98533845637378,42.07577213437184,43.9683974980512,47.651723234366266,11.27102994793214,24.946501522768653,67.6021164055818,22.767923598885865,54.805019516227524,52.84331613200685,54.20999751868183,74.29638161823979,77.5142498175798,46.9250715079493,36.70915420722509,40.773067047016305,14.954317763983015,41.66845650981363,32.83470673505159,48.15449886742453,82.40001546711666,84.48255927865284,62.84587320028692,57.59690705834249,50.1991787672307,27.149913310003573,53.648055229316434,22.700497421023037,25.552843026026064,19.11361223892668,30.937206598119566,43.870423848227375,69.75062698774157,120.82740464164551,81.1088371291392,49.948849379049676,75.3932256833428,36.05667715530563,47.98991905884333,30.627323559432288,28.94060748430665,12.56361315621308,34.50505103961532,114.07700875078184,58.03376637354317,73.47918951931014,72.70248852873974,100.71185956889589,94.39171895849094,66.30109245796744,39.833787976878156,33.27852046502744,7.0553773791533745,7.587236543251956,33.923855673187,50.647971488791214,88.80526470217578,67.73124242202209,79.65103701857872,53.864678761148156,53.02824689650516,61.34074961275886,42.97054878727504,38.14212886197463,9.381671163693618,12.227621479803501,20.992164530526633,47.89825533098642,67.16233512554938,68.54073417574774,61.71971844796116,77.35728551116199,35.26006422038705,63.77310626230833,53.80692239681287,30.94296090615365,24.180618306797786,20.383677150707737,53.76329383091952,37.644812218310406,35.31500840587776,68.08081155515684
RHINE,56.39138881518403,185.4338174382916,90.65949630569483,108.78329677907007,101.67147383499066,117.0833382418901,78.9359002628856,126.33015589676413,92.7224308377199,200.79835398731902,125.79396343605622,54.13974458923,114.32439661820004,93.9751517114748,81.78641983511237,146.94903626858184,74.10796938078207,124.39289961880826,108.39280398162168,64.42200386234776,188.74015093719945,93.56780681163833,62.265509177861645,121.75344778957748,75.35676728649354,118.03486129358359,117.6933188566908,77.10312404746384,135.67964556162553,197.76211434231973,116.20005319163502,135.04575381173106,38.852182200007555,37.48130703811059,54.55827658168404,89.87521056175105,57.513815182818085,82.72382141630105,51.283060302602124,48.70412908004534,116.39868721411952,64.36165762832773,76.09937725451378,184.7852236643325,57.69534499910363,53.05642357636831,60.27165253494754,89.64468502553817,76.89633951621701,105.2300582693709,139.90819570648944,66.61825154331557,106.25676565812,73.35596594518745,77.0619244340669,94.92633593492651,96.22144658994954,56.84590083699015,101.55518040536639,94.29255138628133,66.87347310181445,103.33653388650461,104.70867022744812,69.08945083045943,55.80275987331534,57.52388831323375,95.9827151282672,41.522993192907684,85.5825853196777,138.29360084132512,87.99010061437384,136.1618209102694,53.07447316281957,62.78592935662288,177.9865044307818,66.08763778257983,93.01549799287554,73.13302181597423,82.9167193861094,129.47813186324174,126.38800162940464,101.39114265581752,8.528575837853664,153.43610442023862,136.57018744084618,134.90383522683655,138.87161191553943,85.34764044207041,24.450998732818675,100.7876201839792,113.66730253710806,97.0513448535291,76.8037092382165,129.15271002061326,114.05375418424562,58.39928232706543,81.98248842788455,102.04408501762707,105.95178728750143,90.04756790824788,102.12743458201273,63.72216109432629,86.97588430138454,57.9626617141915,96.7187816076038,112.30694881261253,53.7780584455936,79.06182326961437,103.21093886251128,133.9427271027823,53.18162548587568,47.00499290236283,73.89348756858801,140.0211702492841,143.49003869507584,70.92506737153307,88.61294265723429,70.08228547765285,27.833182067440756,128.95918971908253,71.39191520369698,99.54693268448341,179.58236973678515,79.29530760349476,52.796881103899636,122.58646159039337,152.5368374115365,100.10844363147558,43.75698657074976,28.816731556613018,30.16395874682283,50.2283061867246,109.13295633831616,117.2400322593556,106.89862778102635,64.10245049680417,66.097094828676,11.784718341959849,225.32982768543505,156.05466370223147,29.767365250377935,26.01378585572608,82.7372162989261,79.13506488142988,130.4100115460714,112.3686696984724,79.88553409594837,74.1128291887115,98.74484985847329,107.40510363815557,180.51696232084728,79.48039185047183,85.26865916510924,54.41642784618514,86.54840354775553,164.07098941915018,96.18123995399587,62.82012422477759,72.28450768972726,110.19364204429631,127.70193998606527,118.98017629542878,77.06693964221657,85.06601222230972,89.62167173678213,25.385130308867897,52.406174321392804,97.64018449676148,60.10385990737122,186.2318926641939,133.21693629977054,52.52371880703815,92.3941139939017,89.07866409243226,103.41026962897867,139.47790429613244,50.66657981452554,73.84730870004856,66.67639039439214,81.10096336393887,75.2517262860868,53.77865691664619,85.32453863092785,88.1422647548773,46.350582716489555,118.73843003289483,45.22180821688734,151.78979928368443,136.20975942225908,78.92018390928035,104.10770174663617,120.90618550367373,162.46433802756755,75.62438826970248,54.08612099621984,45.0424157882702,65.7411871446289,94.26405994154402,16.361619189987046,62.8510935012195,77.10495211068803,87.52419097736579,46.74709770309732,76.24716521176963,82.88559370809594,132.3498959353224,101.21506688144733,91.93243554444865,66.12521860222381,118.94719053805392,136.2160884418271,189.15094735804732,39.88332059843402,77.3807418466975,48.55773687063734,94.36859837554374,60.8139603329036,44.91774038494485,63.538455423093616,50.46545710869896,43.74740610367636,42.26065744189063,173.26247023624276,108.77738408668804,46.421817406302054,99.56652449018301,62.79763817252513,105.75994755471129,64.79707694111003,64.31404228226327,91.04333434093004,67.5491828926634,127.114819137608,99.3501279962355,120.42297692625375
