,R_GLDAS21_NOAH36 2000-01-15,R_GLDAS21_NOAH36 2000-02-15,R_GLDAS21_NOAH36 2000-03-15,R_GLDAS21_NOAH36 2000-04-15,R_GLDAS21_NOAH36 2000-05-15,R_GLDAS21_NOAH36 2000-06-15,R_GLDAS21_NOAH36 2000-07-15,R_GLDAS21_NOAH36 2000-08-15,R_GLDAS21_NOAH36 2000-09-15,R_GLDAS21_NOAH36 2000-10-15,R_GLDAS21_NOAH36 2000-11-15,R_GLDAS21_NOAH36 2000-12-15,R_GLDAS21_NOAH36 2001-01-15,R_GLDAS21_NOAH36 2001-02-15,R_GLDAS21_NOAH36 2001-03-15,R_GLDAS21_NOAH36 2001-04-15,R_GLDAS21_NOAH36 2001-05-15,R_GLDAS21_NOAH36 2001-06-15,R_GLDAS21_NOAH36 2001-07-15,R_GLDAS21_NOAH36 2001-08-15,R_GLDAS21_NOAH36 2001-09-15,R_GLDAS21_NOAH36 2001-10-15,R_GLDAS21_NOAH36 2001-11-15,R_GLDAS21_NOAH36 2001-12-15,R_GLDAS21_NOAH36 2002-01-15,R_GLDAS21_NOAH36 2002-02-15,R_GLDAS21_NOAH36 2002-03-15,R_GLDAS21_NOAH36 2002-04-15,R_GLDAS21_NOAH36 2002-05-15,R_GLDAS21_NOAH36 2002-06-15,R_GLDAS21_NOAH36 2002-07-15,R_GLDAS21_NOAH36 2002-08-15,R_GLDAS21_NOAH36 2002-09-15,R_GLDAS21_NOAH36 2002-10-15,R_GLDAS21_NOAH36 2002-11-15,R_GLDAS21_NOAH36 2002-12-15,R_GLDAS21_NOAH36 2003-01-15,R_GLDAS21_NOAH36 2003-02-15,R_GLDAS21_NOAH36 2003-03-15,R_GLDAS21_NOAH36 2003-04-15,R_GLDAS21_NOAH36 2003-05-15,R_GLDAS21_NOAH36 2003-06-15,R_GLDAS21_NOAH36 2003-07-15,R_GLDAS21_NOAH36 2003-08-15,R_GLDAS21_NOAH36 2003-09-15,R_GLDAS21_NOAH36 2003-10-15,R_GLDAS21_NOAH36 2003-11-15,R_GLDAS21_NOAH36 2003-12-15,R_GLDAS21_NOAH36 2004-01-15,R_GLDAS21_NOAH36 2004-02-15,R_GLDAS21_NOAH36 2004-03-15,R_GLDAS21_NOAH36 2004-04-15,R_GLDAS21_NOAH36 2004-05-15,R_GLDAS21_NOAH36 2004-06-15,R_GLDAS21_NOAH36 2004-07-15,R_GLDAS21_NOAH36 2004-08-15,R_GLDAS21_NOAH36 2004-09-15,R_GLDAS21_NOAH36 2004-10-15,R_GLDAS21_NOAH36 2004-11-15,R_GLDAS21_NOAH36 2004-12-15,R_GLDAS21_NOAH36 2005-01-15,R_GLDAS21_NOAH36 2005-02-15,R_GLDAS21_NOAH36 2005-03-15,R_GLDAS21_NOAH36 2005-04-15,R_GLDAS21_NOAH36 2005-05-15,R_GLDAS21_NOAH36 2005-06-15,R_GLDAS21_NOAH36 2005-07-15,R_GLDAS21_NOAH36 2005-08-15,R_GLDAS21_NOAH36 2005-09-15,R_GLDAS21_NOAH36 2005-10-15,R_GLDAS21_NOAH36 2005-11-15,R_GLDAS21_NOAH36 2005-12-15,R_GLDAS21_NOAH36 2006-01-15,R_GLDAS21_NOAH36 2006-02-15,R_GLDAS21_NOAH36 2006-03-15,R_GLDAS21_NOAH36 2006-04-15,R_GLDAS21_NOAH36 2006-05-15,R_GLDAS21_NOAH36 2006-06-15,R_GLDAS21_NOAH36 2006-07-15,R_GLDAS21_NOAH36 2006-08-15,R_GLDAS21_NOAH36 2006-09-15,R_GLDAS21_NOAH36 2006-10-15,R_GLDAS21_NOAH36 2006-11-15,R_GLDAS21_NOAH36 2006-12-15,R_GLDAS21_NOAH36 2007-01-15,R_GLDAS21_NOAH36 2007-02-15,R_GLDAS21_NOAH36 2007-03-15,R_GLDAS21_NOAH36 2007-04-15,R_GLDAS21_NOAH36 2007-05-15,R_GLDAS21_NOAH36 2007-06-15,R_GLDAS21_NOAH36 2007-07-15,R_GLDAS21_NOAH36 2007-08-15,R_GLDAS21_NOAH36 2007-09-15,R_GLDAS21_NOAH36 2007-10-15,R_GLDAS21_NOAH36 2007-11-15,R_GLDAS21_NOAH36 2007-12-15,R_GLDAS21_NOAH36 2008-01-15,R_GLDAS21_NOAH36 2008-02-15,R_GLDAS21_NOAH36 2008-03-15,R_GLDAS21_NOAH36 2008-04-15,R_GLDAS21_NOAH36 2008-05-15,R_GLDAS21_NOAH36 2008-06-15,R_GLDAS21_NOAH36 2008-07-15,R_GLDAS21_NOAH36 2008-08-15,R_GLDAS21_NOAH36 2008-09-15,R_GLDAS21_NOAH36 2008-10-15,R_GLDAS21_NOAH36 2008-11-15,R_GLDAS21_NOAH36 2008-12-15,R_GLDAS21_NOAH36 2009-01-15,R_GLDAS21_NOAH36 2009-02-15,R_GLDAS21_NOAH36 2009-03-15,R_GLDAS21_NOAH36 2009-04-15,R_GLDAS21_NOAH36 2009-05-15,R_GLDAS21_NOAH36 2009-06-15,R_GLDAS21_NOAH36 2009-07-15,R_GLDAS21_NOAH36 2009-08-15,R_GLDAS21_NOAH36 2009-09-15,R_GLDAS21_NOAH36 2009-10-15,R_GLDAS21_NOAH36 2009-11-15,R_GLDAS21_NOAH36 2009-12-15,R_GLDAS21_NOAH36 2010-01-15,R_GLDAS21_NOAH36 2010-02-15,R_GLDAS21_NOAH36 2010-03-15,R_GLDAS21_NOAH36 2010-04-15,R_GLDAS21_NOAH36 2010-05-15,R_GLDAS21_NOAH36 2010-06-15,R_GLDAS21_NOAH36 2010-07-15,R_GLDAS21_NOAH36 2010-08-15,R_GLDAS21_NOAH36 2010-09-15,R_GLDAS21_NOAH36 2010-10-15,R_GLDAS21_NOAH36 2010-11-15,R_GLDAS21_NOAH36 2010-12-15,R_GLDAS21_NOAH36 2011-01-15,R_GLDAS21_NOAH36 2011-02-15,R_GLDAS21_NOAH36 2011-03-15,R_GLDAS21_NOAH36 2011-04-15,R_GLDAS21_NOAH36 2011-05-15,R_GLDAS21_NOAH36 2011-06-15,R_GLDAS21_NOAH36 2011-07-15,R_GLDAS21_NOAH36 2011-08-15,R_GLDAS21_NOAH36 2011-09-15,R_GLDAS21_NOAH36 2011-10-15,R_GLDAS21_NOAH36 2011-11-15,R_GLDAS21_NOAH36 2011-12-15,R_GLDAS21_NOAH36 2012-01-15,R_GLDAS21_NOAH36 2012-02-15,R_GLDAS21_NOAH36 2012-03-15,R_GLDAS21_NOAH36 2012-04-15,R_GLDAS21_NOAH36 2012-05-15,R_GLDAS21_NOAH36 2012-06-15,R_GLDAS21_NOAH36 2012-07-15,R_GLDAS21_NOAH36 2012-08-15,R_GLDAS21_NOAH36 2012-09-15,R_GLDAS21_NOAH36 2012-10-15,R_GLDAS21_NOAH36 2012-11-15,R_GLDAS21_NOAH36 2012-12-15,R_GLDAS21_NOAH36 2013-01-15,R_GLDAS21_NOAH36 2013-02-15,R_GLDAS21_NOAH36 2013-03-15,R_GLDAS21_NOAH36 2013-04-15,R_GLDAS21_NOAH36 2013-05-15,R_GLDAS21_NOAH36 2013-06-15,R_GLDAS21_NOAH36 2013-07-15,R_GLDAS21_NOAH36 2013-08-15,R_GLDAS21_NOAH36 2013-09-15,R_GLDAS21_NOAH36 2013-10-15,R_GLDAS21_NOAH36 2013-11-15,R_GLDAS21_NOAH36 2013-12-15,R_GLDAS21_NOAH36 2014-01-15,R_GLDAS21_NOAH36 2014-02-15,R_GLDAS21_NOAH36 2014-03-15,R_GLDAS21_NOAH36 2014-04-15,R_GLDAS21_NOAH36 2014-05-15,R_GLDAS21_NOAH36 2014-06-15,R_GLDAS21_NOAH36 2014-07-15,R_GLDAS21_NOAH36 2014-08-15,R_GLDAS21_NOAH36 2014-09-15,R_GLDAS21_NOAH36 2014-10-15,R_GLDAS21_NOAH36 2014-11-15,R_GLDAS21_NOAH36 2014-12-15,R_GLDAS21_NOAH36 2015-01-15,R_GLDAS21_NOAH36 2015-02-15,R_GLDAS21_NOAH36 2015-03-15,R_GLDAS21_NOAH36 2015-04-15,R_GLDAS21_NOAH36 2015-05-15,R_GLDAS21_NOAH36 2015-06-15,R_GLDAS21_NOAH36 2015-07-15,R_GLDAS21_NOAH36 2015-08-15,R_GLDAS21_NOAH36 2015-09-15,R_GLDAS21_NOAH36 2015-10-15,R_GLDAS21_NOAH36 2015-11-15,R_GLDAS21_NOAH36 2015-12-15,R_GLDAS21_NOAH36 2016-01-15,R_GLDAS21_NOAH36 2016-02-15,R_GLDAS21_NOAH36 2016-03-15,R_GLDAS21_NOAH36 2016-04-15,R_GLDAS21_NOAH36 2016-05-15,R_GLDAS21_NOAH36 2016-06-15,R_GLDAS21_NOAH36 2016-07-15,R_GLDAS21_NOAH36 2016-08-15,R_GLDAS21_NOAH36 2016-09-15,R_GLDAS21_NOAH36 2016-10-15,R_GLDAS21_NOAH36 2016-11-15,R_GLDAS21_NOAH36 2016-12-15,R_GLDAS21_NOAH36 2017-01-15,R_GLDAS21_NOAH36 2017-02-15,R_GLDAS21_NOAH36 2017-03-15,R_GLDAS21_NOAH36 2017-04-15,R_GLDAS21_NOAH36 2017-05-15,R_GLDAS21_NOAH36 2017-06-15,R_GLDAS21_NOAH36 2017-07-15,R_GLDAS21_NOAH36 2017-08-15,R_GLDAS21_NOAH36 2017-09-15,R_GLDAS21_NOAH36 2017-10-15,R_GLDAS21_NOAH36 2017-11-15,R_GLDAS21_NOAH36 2017-12-15,R_GLDAS21_NOAH36 2018-01-15,R_GLDAS21_NOAH36 2018-02-15,R_GLDAS21_NOAH36 2018-03-15,R_GLDAS21_NOAH36 2018-04-15,R_GLDAS21_NOAH36 2018-05-15,R_GLDAS21_NOAH36 2018-06-15,R_GLDAS21_NOAH36 2018-07-15,R_GLDAS21_NOAH36 2018-08-15,R_GLDAS21_NOAH36 2018-09-15,R_GLDAS21_NOAH36 2018-10-15,R_GLDAS21_NOAH36 2018-11-15,R_GLDAS21_NOAH36 2018-12-15,R_GLDAS21_NOAH36 2019-01-15,R_GLDAS21_NOAH36 2019-02-15,R_GLDAS21_NOAH36 2019-03-15,R_GLDAS21_NOAH36 2019-04-15,R_GLDAS21_NOAH36 2019-05-15,R_GLDAS21_NOAH36 2019-06-15,R_GLDAS21_NOAH36 2019-07-15,R_GLDAS21_NOAH36 2019-08-15,R_GLDAS21_NOAH36 2019-09-15,R_GLDAS21_NOAH36 2019-10-15,R_GLDAS21_NOAH36 2019-11-15,R_GLDAS21_NOAH36 2019-12-15,R_GLDAS21_NOAH36 2020-01-15,R_GLDAS21_NOAH36 2020-02-15,R_GLDAS21_NOAH36 2020-03-15,R_GLDAS21_NOAH36 2020-04-15,R_GLDAS21_NOAH36 2020-05-15,R_GLDAS21_NOAH36 2020-06-15,R_GLDAS21_NOAH36 2020-07-15,R_GLDAS21_NOAH36 2020-08-15
WINISK,3.1076804674221177,9.281527504820565,35.36705225083134,40.94713858025805,41.36235198130472,30.705842858533174,11.568060245106482,22.52942587763821,13.692033307125554,11.816288395811265,14.889187198703905,6.2486710871493045,0.2938879697810423,0.033002209522842565,12.810022796016273,56.48875198932448,30.49202205207655,17.629221966538914,5.684214316066201,13.116161586701832,9.752194189788561,9.974887505417897,10.578471151967808,7.332220085209517,3.0797129370697465,1.753073166837383,8.465839064526689,55.27869975677905,63.912725722125074,15.388427721748444,8.216857557204609,13.313227251231249,10.696271713600943,14.266916845521564,10.37672527098572,3.0707566111141937,1.028602377663372,0.1427618138572093,17.29106713324682,46.884455682587365,34.770531352449694,7.1497110348055655,6.257673821929294,6.7960741866777035,4.4191007654270775,5.290740351935833,6.156916949502486,2.6031779957074863,0.25882763808156023,2.8501421340053765,17.789868094839647,41.35017005425149,61.3126232737711,23.412919674002648,14.271023365865442,10.422411361392596,59.74409968422717,55.609830775626286,39.31601384709783,10.565448235563977,0.6097489581878318,0.8769501615962978,11.685033250823786,74.41261155283136,21.539622801007685,26.62015069172479,18.924257182139574,14.50240164540188,12.32778241416837,16.135115648911793,18.36890333088928,12.856427557262087,7.119825781154058,2.5753059205825912,11.97073408529688,56.393756175458115,11.755389477781145,16.479855634363787,15.215648881118774,5.744881276589954,4.213770542873984,6.42285416664099,9.739227031501693,5.974751619755293,3.084412813088764,0.5880553541635533,25.409859612734003,48.08864914700278,13.265001172794351,6.883718785207819,10.373656353894502,7.7671887655717455,13.883923556762765,36.41293549573351,33.66755945517159,11.209502003904188,2.69619437699468,0.5338750619191526,4.075417872313528,85.01196574262197,30.03842918675415,19.729897043358527,12.689951018586239,17.38974332238956,8.370509481258937,12.39623225105666,17.668930320734404,10.16595070745663,1.5881783090185455,0.28843886062299245,5.961909292085898,74.41208955266445,28.09745945321208,14.984529256502881,12.303030293928769,30.521952487463512,17.742098862086532,11.52474449598356,14.810430735864164,9.119762455138764,0.2661446320815533,0.0074151773298996295,64.26951152398964,40.891690680993115,12.336631687274073,4.413945432457922,9.198158738652708,9.081031935065404,7.1278411683008684,9.906466335816626,11.340165104175643,7.304031759561932,2.7301235595239186,0.824342487575229,5.8663542132277655,79.57312293094148,18.897044773421534,4.575342282573676,7.813294399253688,7.018707805273657,2.0420841996830195,1.8746943508252107,2.3565476142755006,1.6711189410624607,0.4807158288304169,0.10015535645022756,39.42912625102619,24.69225794753697,13.837287821824413,4.173103133297616,3.4497473582761025,4.090047205314827,1.471076288373318,1.8116470303118235,2.0872330621734703,1.3952169497262332,0.4969777716539836,0.11919088614851556,6.448071061269096,47.26830704779583,37.276830523933135,3.617844299768998,3.1325098475705118,5.373980053800853,2.1716452717456303,1.399448993089102,1.6156279861287075,1.1473159628363392,0.4850283702105039,0.10701107203823736,0.5953281008836034,31.88729348268886,65.46557119543941,6.153330796001343,4.890782960252994,5.287564144197472,3.740572898081047,6.2747279164697645,9.678428588674258,3.0146903282983764,0.4137639048216985,0.06048337598270295,10.384191698546422,61.76187011753693,17.432380926652872,6.223043944135656,6.241716712918168,7.519776902287452,8.131685961428298,8.208748272367545,10.36170078381153,6.4963007169541545,1.5116757183131162,0.5187102832546682,17.970853702377102,42.37475745950816,20.858290086568754,21.953826903430425,7.160679332404403,6.426740487052323,7.266853525309442,8.546094146439737,15.53685842133694,11.043445990132136,2.542055312276359,6.7363048609729885,18.4025810592463,49.78704664837197,25.35198185673215,14.688957628782624,3.7818700000543326,3.7712465505123367,4.7997988487521175,2.5315069013576488,1.7440673014860664,0.8838448399724457,0.1266314406216931,0.017605207626322745,7.2496301874792195,21.91345357334753,9.75154760062909,4.0410182062970605,3.8423102775922153,2.286886096775353,2.64075587353862,1.9430600862804084,1.3263825500886108,0.4608515542040914,0.0021635950165616448,0.00020662932325995808,14.25925390956241,18.898780196303235,7.62660564975199,6.988671468308843,6.315512611992594,3.1995945805635335,3.4167629905179586,5.471664390075032,6.280315364386452,1.584570815419183,0.034306081397247716,0.12970148889385116,7.692103576096525,24.84030487346786,11.010680367981717,25.44470583555099,6.630516777450618,3.310201990260787
COPPER,1.0848193438713591,0.9945007861025508,1.5409114246624431,19.333137394294525,83.49808925735306,180.4874829299007,190.02502200239468,124.71973825542084,106.52248744431856,47.97408127462803,12.688462757014225,5.633158574382905,3.6297648710227817,2.085360364711203,3.6059755284977824,42.401926216953036,142.40223502456362,340.7347391366235,276.99376564904253,196.98827200916645,81.94699200031333,31.10761276655563,9.547018000276491,5.072684936364551,4.0257353291013365,1.4850327086301514,0.997641555610525,22.549554419174584,185.8795746315793,247.02832386393783,199.2775554219507,203.4669267993568,115.55655095466723,103.88486155634804,80.6772020586375,23.25265292376865,7.737839350025091,9.802815830082812,4.825229036862279,73.37383931654672,191.28032616101524,221.3509111581133,238.285222307172,186.9738489650672,94.32197972467449,76.13161976664402,13.910988608151259,5.167524065427023,3.3185728470046323,5.440302358800252,4.1181932367580085,46.45051077043474,249.5729107538474,228.36331808432152,242.71241518483725,205.73921979211283,86.69859026865404,74.5231745072156,13.96350355148642,10.583949146015804,8.601318433933136,4.533709791216914,5.8639392360112526,79.47859028110929,298.56382384188225,247.2134048959592,241.06609901224988,229.06967283742352,134.14858234823276,48.15013704046644,15.159918030028422,16.37917962417464,4.779507483524991,3.726258100235365,1.85555074124752,10.350611928438687,203.5647874603492,234.8020077569446,208.3134068142297,200.7128893669441,120.446051480356,107.24337356310114,12.99218277192008,4.015225913252202,1.4820245899449436,0.5175822809589538,0.3103276237947408,60.227107238399505,145.86822873224997,177.517827638063,196.57131022081109,176.8349727680143,110.66362799160945,24.200035298806032,13.06010034332098,5.0330533866668805,1.5936718925027022,2.0133715162895176,1.366068567347311,57.69022856792657,207.4098694161146,177.55818616406742,198.14570025581773,174.62540389861599,135.48447334956987,36.52072766267257,8.748086943560923,4.900348234714218,10.041688533332792,1.3927591149671092,0.6285865994888755,52.68353419245322,201.23024236013032,182.0832871146032,193.6290265086927,185.34175705309457,113.22838075151618,56.3367505346889,11.02097413118892,4.110950295215687,2.5609746461888467,2.447534238684112,3.067910777469502,51.836846492507064,231.41056030232812,188.3943924694646,208.5030035518425,186.595432574842,87.9538838870031,29.917133979632005,8.158307705597577,3.3326641352544004,1.6378525471788077,0.8438267308528729,1.6455199478587403,37.30682050490893,225.1166939190049,192.7803180667136,187.2208236098719,174.7423919534401,123.940128151426,31.05617580247809,7.745380629406547,3.890774823698745,1.6235617579548929,0.8169942000856232,2.5901465195033846,70.42780066078713,195.7134936979568,283.3533185563928,199.00033347360053,154.9072253109354,134.41506565275702,60.51529704814411,6.167404799886852,1.562878521769662,2.1510347846332767,0.3314634010413748,0.4758525121665901,8.448484149278336,245.124366857206,254.27994859025867,213.82203154986644,194.8318807485284,135.32430148188092,59.869204587343816,13.887176758942196,4.348481234168582,14.768144207293227,1.5078731098589118,1.242241344227786,60.71265278805686,288.96842455014445,198.35897804208903,211.717150976364,207.541481808608,152.83278380461226,27.75697443128283,6.411375543385277,3.221052579196243,4.154744124245207,6.9994720001475255,6.84246754808422,41.092729837232156,330.92887121445926,203.099917445684,234.5117277245569,194.0955932133619,101.04763976239128,32.71140927082667,10.235091867832224,4.649527224875387,3.2668154436623467,2.4956547444692596,18.699511611159032,97.33518088937771,270.51128298828917,238.8874474603465,252.2584109678144,246.07994552915738,123.17386952229643,23.461186539252964,6.285323522077882,1.2624219268662948,0.8751519493583304,3.6253720806749294,1.1646075334878805,66.3454045499333,178.3482002128181,210.12029372356614,198.9879632514308,195.52256885663482,127.60967890513477,59.72209384979718,7.884041161725607,11.038039769967815,5.05756005266688,0.3541176538649205,4.664092609278186,47.13314870663458,199.36951470661256,237.44312677644268,216.79248855809243,217.68913232567056,99.95535515614449,62.55064129703287,19.807404324984773,7.874317531132824,2.8675229693076374,1.1755076172205323,32.06067620378029,58.161421869942075,249.86214813015113,227.8652261351913,247.83658933891704,180.62659233594533,115.0340733292496,37.53341318140377,15.474654896756634,7.53352173602233,2.437022085428787,1.1421744134728211,2.6415455157640606,68.94162217187532,268.645260350646,204.69668325551328,221.05126818018044,186.58431285059524
NOTTAWAY,3.896994705992448,22.75514912922775,66.71627468226006,51.831325320139676,36.93170436116467,19.32383107752179,22.67114857367695,39.72782216352206,24.648174390091327,39.995232096121505,39.22810471747969,20.904581587286664,3.404567924374703,1.0421840558445563,17.262728043331073,121.2211017563255,16.081321800477017,17.897374362966424,15.440816229050295,6.009092885840813,7.86878341530713,29.642421772330326,41.49567200628393,33.1818600777565,12.081074648398195,4.396062640728082,21.045021570090725,124.90047298826893,23.38115271840657,27.60942400263346,28.455451073995647,13.419434274996776,11.574536536934545,41.22014487341285,31.496744787358647,13.840447357541802,2.804136597163812,0.6755128666481833,42.175949485779256,77.30094513521972,19.79386852982455,7.01706191724779,14.954235146875314,44.88813030126165,26.835167655661675,53.63434763695735,44.3177084062158,24.399914059933227,8.659021720893152,8.416135801353855,38.335986034596154,74.00855846457983,58.91950482729595,45.60616500815264,77.48565997112708,29.440222299712172,31.461363175864893,35.707389521055724,37.375381891482725,20.616259643402696,10.814152414958649,6.868795413210863,25.31502457108082,77.96532684359333,35.65303520367027,43.28596519970608,8.184198989657745,1.7410846536338824,1.9964514280638737,13.87447446327992,32.088165566179065,18.433286774081992,10.54791191314644,2.7369716012748144,61.72677608250162,96.09034826747136,30.38074260071072,36.85554906970829,13.3278318403778,9.965547250196362,12.035252515879929,56.20804158508082,56.48262505412564,30.24863455232933,17.36124970223375,3.1936280430704214,35.000525455541094,100.82009785392479,9.398807386143126,19.691896445045025,18.2086944857692,4.027418242255323,12.744086120587912,37.10867713467388,49.84828108742442,26.40104306845288,16.827671690715302,8.878733669933627,9.933838321124098,105.46054542634054,94.9152801610606,60.48099943444385,40.10323032805535,51.41517286510873,23.33351833451449,35.805186993077264,56.570938979198964,33.57903527051753,13.959719019488974,7.883987112867397,23.409305758680052,83.37544702872734,46.82294657083377,53.294290593149874,18.22558596723064,17.24273510761562,11.64346858655476,18.66219035329046,36.479687126049335,31.98588876961349,15.548445683648213,6.946151904740122,31.139577547396122,105.87385576605013,76.92855215782795,26.96363388335937,7.908358199657915,5.095445459012226,14.352005550634669,46.7735770444465,39.02715342245259,23.92081344585555,12.843123026960793,8.335785855621449,15.919024597383096,121.30298079627356,27.617766015222074,30.47680814015313,16.221473653237506,4.259846723886535,3.3584658914522336,7.771977475431613,23.652216761452237,20.5081282239884,10.099071753429461,4.181344164800908,74.48745784986484,25.167033647512273,13.521193905118198,23.6914795045205,6.440923415593463,3.3087605350213765,12.626979906475391,34.28575194782198,62.89562536476651,22.75411851012937,12.095087131274552,1.1524952452187842,54.42129918263264,80.72016483169841,18.37246818711216,16.50204937085745,11.147314882049976,7.290050834702817,10.293740078546936,23.122194571444588,35.82532841573949,16.88611262756857,2.608678160253285,0.20257981605823905,5.401922362663979,147.949821408641,54.32840179505843,22.076078452133412,13.854002049686413,15.376649343301127,12.058596758708596,63.12822752791357,62.087432641325854,24.604041990213915,5.632069380973589,1.45772322074398,7.906198314763117,110.1804586210749,19.772512868693205,16.573451125683082,27.7708204178089,19.041798327960752,14.983030798597314,19.605164858744573,36.82290007747083,31.981322827364288,15.092591113977365,2.9836009647853485,40.14022167072976,90.56753342162695,37.382429856959256,21.524525626722895,22.53211745063719,21.501356825451712,24.80539304154459,44.52286124368849,58.93828257901831,32.09990705524241,8.498743848545331,9.864195841674512,25.557271813002487,104.96843587385332,41.115278089890474,39.59218481379497,22.584183980286475,9.128258182964935,8.638170350022731,11.403093357707537,32.60158064920491,16.342431138235444,14.781992493917672,4.1814252137923695,25.27999884839133,38.186323366483656,24.650350799632392,12.430333002681856,6.35024060446048,2.164827529019405,4.728126967831371,35.30351039834475,33.65020653955927,11.81916703590342,1.141146306724932,1.7014859675227108,44.72211426521217,108.41527526048056,21.762163170110387,20.20494601110128,7.587058192888832,7.397182892966683,4.5132993940364265,8.730245793244809,17.373978959000148,10.670031134843,4.769524205713585,2.1905598243024778,40.59129085640394,65.79913311050932,12.798974478812951,8.827664292630603,8.474056443734591,16.432195793096664
TALAS,1.7040887739588169,1.210350969218053,1.3606259130491516,3.4283973979539977,2.4669653587100355,1.5300342512391076,1.166045831829604,0.901386142567356,0.7399871452687424,1.055422480266739,0.8027148571646641,1.0324869643034196,1.2614032549218557,5.794205415089133,5.7221956223947785,11.982940091955536,4.7312187384028,2.3544916651218832,1.6369168893745012,1.224746389544698,0.9459212923026568,2.3481297839488837,1.882289103745343,2.6750684806972744,2.2357997253959128,5.323318407703432,26.459932906406713,20.44268591743355,19.37758056798666,8.533993503364925,4.187431222783078,2.6577081397897966,1.9157405543699317,1.6186796929174936,1.4221473489779786,1.607320964309225,1.5112743130165829,4.17166244156963,14.538346404329278,47.036950048632406,19.15423188930271,8.364848908705053,4.375380053942704,2.7763896671418737,1.973741066081906,1.7144574760243931,3.703009321062805,5.597793427192801,4.270082477030585,5.118736175080592,27.339133695511084,18.574931899222552,8.408032367544061,3.6300397379850575,2.4026491805897616,1.751045815019132,1.3525528118883643,1.2397055179543992,1.6416986845922157,4.674460908750571,4.662355475760927,4.379639263299897,61.23008071295797,28.16478850046685,9.716941072343372,4.362875741073488,2.700688838510667,2.0492948224219294,1.548152528725457,1.3397978091944078,1.3175794857507546,1.37947283231621,0.7501527343042794,7.969830626225453,14.740091569927184,11.58119982335916,5.789193491774026,2.8251275549192942,2.0123289912943303,1.4811227843135264,1.2054449567738683,1.194596574416956,1.6626534916149058,1.790679535959529,2.084107272426738,1.640070224072916,7.273746295364503,22.186973956104246,8.92700441186173,3.634102564666197,2.26904840792782,1.6211573431737671,1.2418711476461823,1.0860912069687312,1.0180044713972738,1.0675230269460203,0.5647636925509565,7.163821082482554,2.7647008311231387,4.65572404227968,2.651368726611186,1.6188849330577255,1.2441809352658673,0.9902497453570448,0.8708092719850914,1.020080273195164,0.8285763357201575,0.9271099536369544,1.0985269049220785,1.708405104363535,5.7339256632604805,7.846771477801527,6.708205499409304,3.105282892039392,1.9132379606898184,1.4352665741138175,1.1021939212303231,0.9595132001414032,1.1745481315811521,1.4278576554711182,3.2372458181238337,5.205248849119134,36.38571019173996,17.334049086899594,7.317954694437398,3.5049648404312155,2.292886667422433,1.67821246033455,1.3222436706856338,1.1835207635861429,1.0301571109827825,0.9906638367180214,0.4603588243625288,3.6165613382966293,4.617317143911293,2.1889709117363183,2.8563886209885387,1.9000580253363195,1.3536995018043516,1.0537308296012189,0.8671105888727272,0.8400547297650868,1.4748371148235626,2.459552652140513,1.5498144944950114,1.5383168852928193,12.025506692514837,25.907736984482234,8.231559316402208,3.661112059533655,2.3831810530628594,1.772564922785531,1.388792726823982,1.2149168343202674,1.222509075847334,1.003180576331642,4.879643590694826,2.4408155697522127,12.777685397055382,13.564428167845314,6.641408663347608,3.2992476827416533,2.107353329657085,1.5482019240477864,1.1886688717708962,1.0388512700961412,0.8773978704091959,1.822469807418071,1.5193089701709868,2.5972910207665523,32.31991683389502,27.49186311916615,8.544532790132111,3.753736289758888,2.4017019296314093,1.7610672129814873,1.3243324545501405,2.024723462553409,5.948690132373391,4.430330189234211,2.6465844588527405,7.207532399267876,29.399493615594462,25.78518513145637,9.236598545749397,4.1701458787077526,2.570167258798979,1.9103850105624165,1.4860858880028691,1.5073058593860709,6.016795445678929,13.073486133213654,40.94924262376102,15.910460203986721,10.39300476812321,10.772469756132336,8.939425476706415,5.455077644502406,3.5523816713836824,2.4389833258475555,2.002862460918659,1.838442465173248,2.290815062875116,6.378903830578196,5.4065107201224345,10.41158087339478,13.95048216479963,59.67039035517159,24.825099066880217,7.031645638549165,3.5984926015791,2.4573347622164645,1.864247712920579,1.6351252402486314,1.3841951663986218,1.440908020463848,0.9062233997694776,3.8316770895732826,6.344941003935789,9.421692706792273,4.888411963671789,2.741268939659164,1.8748554554995236,1.427158676897665,1.1084976622140934,1.0515683040202533,1.2464903607704634,1.1742110267378312,2.3592212170918025,4.334576580976189,8.156123799552493,11.948424220394845,8.403039624143863,3.5439284092904093,2.1890195034148525,1.5473171125292302,1.1959410258457932,1.021689319378585,0.8970193401086687,1.5876538859778817,1.260024594318425,3.154323137333241,5.989845577929902,3.4959719556390865,2.8423572662529515,1.8137007784814945,1.3521878475301066,1.891722932054377
