,TWS_GRACE_CSR_mascons 2002-05-15,TWS_GRACE_CSR_mascons 2002-06-15,TWS_GRACE_CSR_mascons 2002-07-15,TWS_GRACE_CSR_mascons 2002-08-15,TWS_GRACE_CSR_mascons 2002-09-15,TWS_GRACE_CSR_mascons 2002-10-15,TWS_GRACE_CSR_mascons 2002-11-15,TWS_GRACE_CSR_mascons 2002-12-15,TWS_GRACE_CSR_mascons 2003-01-15,TWS_GRACE_CSR_mascons 2003-02-15,TWS_GRACE_CSR_mascons 2003-03-15,TWS_GRACE_CSR_mascons 2003-04-15,TWS_GRACE_CSR_mascons 2003-05-15,TWS_GRACE_CSR_mascons 2003-06-15,TWS_GRACE_CSR_mascons 2003-07-15,TWS_GRACE_CSR_mascons 2003-08-15,TWS_GRACE_CSR_mascons 2003-09-15,TWS_GRACE_CSR_mascons 2003-10-15,TWS_GRACE_CSR_mascons 2003-11-15,TWS_GRACE_CSR_mascons 2003-12-15,TWS_GRACE_CSR_mascons 2004-01-15,TWS_GRACE_CSR_mascons 2004-02-15,TWS_GRACE_CSR_mascons 2004-03-15,TWS_GRACE_CSR_mascons 2004-04-15,TWS_GRACE_CSR_mascons 2004-05-15,TWS_GRACE_CSR_mascons 2004-06-15,TWS_GRACE_CSR_mascons 2004-07-15,TWS_GRACE_CSR_mascons 2004-08-15,TWS_GRACE_CSR_mascons 2004-09-15,TWS_GRACE_CSR_mascons 2004-10-15,TWS_GRACE_CSR_mascons 2004-11-15,TWS_GRACE_CSR_mascons 2004-12-15,TWS_GRACE_CSR_mascons 2005-01-15,TWS_GRACE_CSR_mascons 2005-02-15,TWS_GRACE_CSR_mascons 2005-03-15,TWS_GRACE_CSR_mascons 2005-04-15,TWS_GRACE_CSR_mascons 2005-05-15,TWS_GRACE_CSR_mascons 2005-06-15,TWS_GRACE_CSR_mascons 2005-07-15,TWS_GRACE_CSR_mascons 2005-08-15,TWS_GRACE_CSR_mascons 2005-09-15,TWS_GRACE_CSR_mascons 2005-10-15,TWS_GRACE_CSR_mascons 2005-11-15,TWS_GRACE_CSR_mascons 2005-12-15,TWS_GRACE_CSR_mascons 2006-01-15,TWS_GRACE_CSR_mascons 2006-02-15,TWS_GRACE_CSR_mascons 2006-03-15,TWS_GRACE_CSR_mascons 2006-04-15,TWS_GRACE_CSR_mascons 2006-05-15,TWS_GRACE_CSR_mascons 2006-06-15,TWS_GRACE_CSR_mascons 2006-07-15,TWS_GRACE_CSR_mascons 2006-08-15,TWS_GRACE_CSR_mascons 2006-09-15,TWS_GRACE_CSR_mascons 2006-10-15,TWS_GRACE_CSR_mascons 2006-11-15,TWS_GRACE_CSR_mascons 2006-12-15,TWS_GRACE_CSR_mascons 2007-01-15,TWS_GRACE_CSR_mascons 2007-02-15,TWS_GRACE_CSR_mascons 2007-03-15,TWS_GRACE_CSR_mascons 2007-04-15,TWS_GRACE_CSR_mascons 2007-05-15,TWS_GRACE_CSR_mascons 2007-06-15,TWS_GRACE_CSR_mascons 2007-07-15,TWS_GRACE_CSR_mascons 2007-08-15,TWS_GRACE_CSR_mascons 2007-09-15,TWS_GRACE_CSR_mascons 2007-10-15,TWS_GRACE_CSR_mascons 2007-11-15,TWS_GRACE_CSR_mascons 2007-12-15,TWS_GRACE_CSR_mascons 2008-01-15,TWS_GRACE_CSR_mascons 2008-02-15,TWS_GRACE_CSR_mascons 2008-03-15,TWS_GRACE_CSR_mascons 2008-04-15,TWS_GRACE_CSR_mascons 2008-05-15,TWS_GRACE_CSR_mascons 2008-06-15,TWS_GRACE_CSR_mascons 2008-07-15,TWS_GRACE_CSR_mascons 2008-08-15,TWS_GRACE_CSR_mascons 2008-09-15,TWS_GRACE_CSR_mascons 2008-10-15,TWS_GRACE_CSR_mascons 2008-11-15,TWS_GRACE_CSR_mascons 2008-12-15,TWS_GRACE_CSR_mascons 2009-01-15,TWS_GRACE_CSR_mascons 2009-02-15,TWS_GRACE_CSR_mascons 2009-03-15,TWS_GRACE_CSR_mascons 2009-04-15,TWS_GRACE_CSR_mascons 2009-05-15,TWS_GRACE_CSR_mascons 2009-06-15,TWS_GRACE_CSR_mascons 2009-07-15,TWS_GRACE_CSR_mascons 2009-08-15,TWS_GRACE_CSR_mascons 2009-09-15,TWS_GRACE_CSR_mascons 2009-10-15,TWS_GRACE_CSR_mascons 2009-11-15,TWS_GRACE_CSR_mascons 2009-12-15,TWS_GRACE_CSR_mascons 2010-01-15,TWS_GRACE_CSR_mascons 2010-02-15,TWS_GRACE_CSR_mascons 2010-03-15,TWS_GRACE_CSR_mascons 2010-04-15,TWS_GRACE_CSR_mascons 2010-05-15,TWS_GRACE_CSR_mascons 2010-06-15,TWS_GRACE_CSR_mascons 2010-07-15,TWS_GRACE_CSR_mascons 2010-08-15,TWS_GRACE_CSR_mascons 2010-09-15,TWS_GRACE_CSR_mascons 2010-10-15,TWS_GRACE_CSR_mascons 2010-11-15,TWS_GRACE_CSR_mascons 2010-12-15,TWS_GRACE_CSR_mascons 2011-01-15,TWS_GRACE_CSR_mascons 2011-02-15,TWS_GRACE_CSR_mascons 2011-03-15,TWS_GRACE_CSR_mascons 2011-04-15,TWS_GRACE_CSR_mascons 2011-05-15,TWS_GRACE_CSR_mascons 2011-06-15,TWS_GRACE_CSR_mascons 2011-07-15,TWS_GRACE_CSR_mascons 2011-08-15,TWS_GRACE_CSR_mascons 2011-09-15,TWS_GRACE_CSR_mascons 2011-10-15,TWS_GRACE_CSR_mascons 2011-11-15,TWS_GRACE_CSR_mascons 2011-12-15,TWS_GRACE_CSR_mascons 2012-01-15,TWS_GRACE_CSR_mascons 2012-02-15,TWS_GRACE_CSR_mascons 2012-03-15,TWS_GRACE_CSR_mascons 2012-04-15,TWS_GRACE_CSR_mascons 2012-05-15,TWS_GRACE_CSR_mascons 2012-06-15,TWS_GRACE_CSR_mascons 2012-07-15,TWS_GRACE_CSR_mascons 2012-08-15,TWS_GRACE_CSR_mascons 2012-09-15,TWS_GRACE_CSR_mascons 2012-10-15,TWS_GRACE_CSR_mascons 2012-11-15,TWS_GRACE_CSR_mascons 2012-12-15,TWS_GRACE_CSR_mascons 2013-01-15,TWS_GRACE_CSR_mascons 2013-02-15,TWS_GRACE_CSR_mascons 2013-03-15,TWS_GRACE_CSR_mascons 2013-04-15,TWS_GRACE_CSR_mascons 2013-05-15,TWS_GRACE_CSR_mascons 2013-06-15,TWS_GRACE_CSR_mascons 2013-07-15,TWS_GRACE_CSR_mascons 2013-08-15,TWS_GRACE_CSR_mascons 2013-09-15,TWS_GRACE_CSR_mascons 2013-10-15,TWS_GRACE_CSR_mascons 2013-11-15,TWS_GRACE_CSR_mascons 2013-12-15,TWS_GRACE_CSR_mascons 2014-01-15,TWS_GRACE_CSR_mascons 2014-02-15,TWS_GRACE_CSR_mascons 2014-03-15,TWS_GRACE_CSR_mascons 2014-04-15,TWS_GRACE_CSR_mascons 2014-05-15,TWS_GRACE_CSR_mascons 2014-06-15,TWS_GRACE_CSR_mascons 2014-07-15,TWS_GRACE_CSR_mascons 2014-08-15,TWS_GRACE_CSR_mascons 2014-09-15,TWS_GRACE_CSR_mascons 2014-10-15,TWS_GRACE_CSR_mascons 2014-11-15,TWS_GRACE_CSR_mascons 2014-12-15,TWS_GRACE_CSR_mascons 2015-01-15,TWS_GRACE_CSR_mascons 2015-02-15,TWS_GRACE_CSR_mascons 2015-03-15,TWS_GRACE_CSR_mascons 2015-04-15,TWS_GRACE_CSR_mascons 2015-05-15,TWS_GRACE_CSR_mascons 2015-06-15,TWS_GRACE_CSR_mascons 2015-07-15,TWS_GRACE_CSR_mascons 2015-08-15,TWS_GRACE_CSR_mascons 2015-09-15,TWS_GRACE_CSR_mascons 2015-10-15,TWS_GRACE_CSR_mascons 2015-11-15,TWS_GRACE_CSR_mascons 2015-12-15,TWS_GRACE_CSR_mascons 2016-01-15,TWS_GRACE_CSR_mascons 2016-02-15,TWS_GRACE_CSR_mascons 2016-03-15,TWS_GRACE_CSR_mascons 2016-04-15,TWS_GRACE_CSR_mascons 2016-05-15,TWS_GRACE_CSR_mascons 2016-06-15,TWS_GRACE_CSR_mascons 2016-07-15,TWS_GRACE_CSR_mascons 2016-08-15,TWS_GRACE_CSR_mascons 2016-09-15,TWS_GRACE_CSR_mascons 2016-10-15,TWS_GRACE_CSR_mascons 2016-11-15,TWS_GRACE_CSR_mascons 2016-12-15,TWS_GRACE_CSR_mascons 2017-01-15,TWS_GRACE_CSR_mascons 2017-02-15,TWS_GRACE_CSR_mascons 2017-03-15,TWS_GRACE_CSR_mascons 2017-04-15,TWS_GRACE_CSR_mascons 2017-05-15,TWS_GRACE_CSR_mascons 2017-06-15,TWS_GRACE_CSR_mascons 2017-07-15,TWS_GRACE_CSR_mascons 2017-08-15,TWS_GRACE_CSR_mascons 2017-09-15,TWS_GRACE_CSR_mascons 2017-10-15,TWS_GRACE_CSR_mascons 2017-11-15,TWS_GRACE_CSR_mascons 2017-12-15,TWS_GRACE_CSR_mascons 2018-01-15,TWS_GRACE_CSR_mascons 2018-02-15,TWS_GRACE_CSR_mascons 2018-03-15,TWS_GRACE_CSR_mascons 2018-04-15,TWS_GRACE_CSR_mascons 2018-05-15,TWS_GRACE_CSR_mascons 2018-06-15,TWS_GRACE_CSR_mascons 2018-07-15,TWS_GRACE_CSR_mascons 2018-08-15,TWS_GRACE_CSR_mascons 2018-09-15,TWS_GRACE_CSR_mascons 2018-10-15,TWS_GRACE_CSR_mascons 2018-11-15,TWS_GRACE_CSR_mascons 2018-12-15,TWS_GRACE_CSR_mascons 2019-01-15,TWS_GRACE_CSR_mascons 2019-02-15,TWS_GRACE_CSR_mascons 2019-03-15,TWS_GRACE_CSR_mascons 2019-04-15,TWS_GRACE_CSR_mascons 2019-05-15,TWS_GRACE_CSR_mascons 2019-06-15,TWS_GRACE_CSR_mascons 2019-07-15,TWS_GRACE_CSR_mascons 2019-08-15,TWS_GRACE_CSR_mascons 2019-09-15,TWS_GRACE_CSR_mascons 2019-10-15,TWS_GRACE_CSR_mascons 2019-11-15,TWS_GRACE_CSR_mascons 2019-12-15,TWS_GRACE_CSR_mascons 2020-01-15,TWS_GRACE_CSR_mascons 2020-02-15,TWS_GRACE_CSR_mascons 2020-03-15,TWS_GRACE_CSR_mascons 2020-04-15,TWS_GRACE_CSR_mascons 2020-05-15,TWS_GRACE_CSR_mascons 2020-06-15,TWS_GRACE_CSR_mascons 2020-07-15
WINISK,-18.92265833230661,-47.63760025450803,-39.369839580223044,-4.263045719034499,14.332783922156253,8.949180313394258,16.26664055679724,24.93482282288866,15.152919908910592,9.821160913158504,7.7572288720801215,-13.620315556676367,-40.08853516087794,-46.918645700069284,-33.649718507320316,-25.90905185034984,12.132669815610305,34.350408742603456,27.3850038766882,34.24773394934143,18.066089725015363,4.871873470926232,19.468603207814056,16.144308042615908,-28.59932832255385,-41.49426838465199,-18.442572055123065,9.934004277080305,19.591187325865555,9.150773535467234,15.223357410183027,17.928643427164733,12.493419371435163,12.968937084911964,4.558996172035839,-11.653318416039223,-33.98338262830488,-36.769943161276295,-17.9014076799942,3.0141728862214587,19.742443722074693,9.250414587049397,19.854257320706235,16.176752609835372,6.6805568927921835,20.543940607741717,13.417920958124526,-30.344548242140583,-50.03325980168589,-24.955579111275217,-9.850891702993412,-4.580083703466503,6.8245967001002406,24.777800681330586,28.50633535972948,18.86104949906843,13.113251373239205,11.057044507721226,8.164928364204387,-18.622042398539158,-36.130739724788505,-25.508072594099346,-16.054992421395983,0.5700499800221799,11.642835122657779,18.406880689594907,17.921857168810092,12.936882567813988,11.905550188983426,14.343076711236904,12.111793502692542,-2.1772027468227257,-32.54343085558177,-37.436829297066744,-22.76930940760194,-9.412045346593032,13.064558440708765,23.75340082739379,18.533202093419174,11.464830381034913,9.373799554916909,8.604559560877416,13.268678607553065,6.1829118586354195,-25.882188610031506,-18.442060572521502,-1.0981407756852943,-26.957122015056246,-10.1686038605679,13.385673474182779,8.385405989699455,4.651506644626274,6.595413924162747,1.5622865547665408,2.5600295918643883,-0.9346749564181422,-28.54891748124969,-24.88484132880375,-5.424893354238527,15.744745950555432,18.240239561155267,11.435211355037598,19.894684226758628,18.04222182915277,13.88896049854281,20.72209159285707,-3.1865078977792587,-23.664843735791077,-29.28241514634757,-42.74100785651184,-26.292635957644965,2.491623590950791,10.526431415051055,15.849486631898145,24.006386348594212,12.140309504172695,0.3519601865314188,5.402158254404583,14.792405376441558,9.833464852715805,-15.274274925072355,-43.227828849170294,-35.44611410048991,-5.738552141170249,19.840561352312164,43.32200384206213,42.57924716782895,13.709156293928762,10.453301495959408,27.196136903305373,21.59623432075285,-4.559164719852589,-67.70922501694321,-82.5243510726931,-30.39053641107336,5.3184890969563465,18.532460053836214,18.38530535378573,22.489066007935943,19.55839955184833,10.020829565404828,12.144625062695026,16.78072178556533,1.621342798378386,-39.92104414724193,-53.550123876200544,-23.016196506338147,9.331974126590627,12.773810012804635,17.99524631476307,34.901479197748124,24.754474517777947,-1.9581638127290333,-1.5803061713739657,5.6614076436271645,-13.107996256801275,-29.10258644399623,-29.72469573422895,-17.145478778104188,-2.256359440848467,10.401556881738244,20.516755015893537,23.08014185904377,17.11446849812083,7.481816033750464,6.158404218218923,2.910244543884101,-12.042458334692295,-25.895409353900384,-32.903572456648085,-28.793781827000466,2.14784783470963,42.15375131097881,54.67797380448101,30.815530358441105,-16.038178890072466,-15.617915568003344,20.80273541501984,20.935672142597934,-7.828845435081582,-41.62469902076853,-52.630985246954886,-40.0732906243939,-25.222577449484202,-11.98422242203354,-1.4697330462010854,6.292775080395807,11.82079938350482,15.015203133563864,14.84450796152958,12.996359629746618,9.328881102455519,2.51336505659215,-4.042127170724838,-1.046321858736075,8.399812697722629,10.697491137816703,6.985725119548524,10.647151765252557,12.425956227299581,7.202900783743617,14.871432810216177,18.854472464931927,-3.226486175181247,-39.131065573725536,-42.34628240055987,-16.625335993040053,13.545138181300574,44.92904600115948,19.95737751861352,-1.4775659825270748,-6.502768577690424,-0.5546386253761248,35.7724548879187,17.708768256385568,28.59590602204565,-22.837866875262343,-67.32948039219221,-29.72419329107305
COPPER,-26.45412160204546,-78.84798333258287,-121.52670775287004,-140.84777725099087,-77.21555462279309,49.387964467374324,85.48840872960687,39.62271278838881,24.246028426264505,24.454913837770327,-4.489677777829968,3.899443835799559,-30.18878501820103,-131.1769818388213,-140.5818254660365,-114.92990729549213,-65.83947539513275,75.20086392161234,42.628095743029796,12.385145862879936,75.52536037906201,20.11117073383536,31.497318482483248,36.825516051612354,-45.00979200023511,-177.52089451150374,-271.09005523867575,-166.77571366204418,27.027820490523553,95.40614977076832,68.42079558209164,68.33252007967664,67.73772828015012,37.15436621833749,39.70558355034643,-6.7212093468658045,-80.16099352613352,-124.89472832004057,-152.58698365098826,-112.44862397473268,-47.67553963508757,-4.864443150694429,77.00670807647741,87.3592217029337,55.509486630132415,38.91337595950225,7.73016117784725,7.7216675720414685,-21.91653376015739,-111.31916205030359,-166.75137581286842,-61.826872087707216,8.665477696170534,12.88831364001976,11.248723041895873,71.85828118985258,105.48761019882656,29.158050674735986,11.441690755155316,-5.5883891316118826,-59.23369581936804,-109.59428184342777,-152.46870314844966,-154.05531151359267,-61.006807816577435,4.708667930820127,54.51334981825022,81.10396180822119,46.55092513358469,62.41251977578084,54.373416109897,32.172589450407244,-36.59997228454915,-97.502174384709,-66.01666333151988,-58.34051578096432,-17.70526823462015,50.964560835638196,82.17999549066553,27.77904593991025,9.473284793818463,51.736617416381684,27.463027543339123,-29.27327686205491,-80.88878582651455,-130.88113227466332,-138.689682088956,-159.32890122535704,-98.466365110247,10.687163964251283,78.54284939233031,110.62757945857264,-3.633365217707933,44.5527065676526,80.13896530456091,-0.6889774047032518,-57.91079173176527,-99.8237898572476,-113.62850904658586,-134.93472681004607,-31.331822764533342,49.04249526894455,35.27374633467366,18.311457941408893,29.77759314598745,66.98591067200431,43.28192841956121,-3.4957352980242717,-67.98655850142688,-149.45959631663442,-141.53693488815543,-73.99328233273161,-8.941381945782382,76.92212336669155,138.11459090980765,91.39549366429712,30.16604121412928,53.513288640085925,81.54701077348011,28.43175726695648,-52.23208476736926,-101.36336021079865,-116.16962639780157,-77.93168689537907,-14.008790571071813,0.2862789737562821,-20.485810023805467,45.46699622126812,93.35461266550915,55.840390461851655,59.309482435793655,57.77419409019296,-58.26393106336502,-190.54822175235898,-194.19398960222927,-126.32689763903886,-46.62050383263954,32.344574442000635,97.81442779765213,80.1101229544397,39.23471628221159,39.26531459386582,25.414387086884915,1.6257755880860714,-73.64802504204324,-122.26149444609905,-103.38156949287418,-107.85907078129252,-60.44074525674921,46.45211991816882,70.75894685065545,7.638854399094497,-35.809739226509684,13.267130054595555,53.23311591652328,-1.4613597077870963,-70.1631122740772,-115.53248965209524,-132.11339753767857,-93.79267700104806,-13.962353734101498,52.4526783095132,85.16341869164353,81.22345879703937,37.580395550780956,7.109741771335392,58.5479993237069,83.88447189379315,-36.37850958576257,-174.4326949281234,-173.80881339868594,-149.93791469888754,-149.62447370528818,-45.18339873441517,126.64332564232632,123.02711708612749,40.47909849233997,33.910790966290506,-27.806042237397264,-56.42307297647813,-28.02855957284646,-9.773811731278895,8.921592636731816,24.63471079879013,33.861110950391776,37.7126028496856,35.77872044055812,27.930576220302445,14.610289559723473,-3.954117831753024,-28.426292313403568,-58.50384115876,-95.31346647889929,-130.9716278264466,-141.09738555779563,-112.2169625748502,-49.36129679344414,20.05529832104321,25.87415056309328,2.051846251767984,-13.988686078072305,25.310810848090334,140.42965683826722,63.19092103744378,-112.85330088564044,-153.95941242673098,-221.2467009339141,-230.94835140738155,-50.70496811902649,51.66497289666086,63.51436434429138,171.48415286414956,100.07474072447552,40.919314453794186,69.0825109880059,-67.70751279284104,-108.1479034827844,-112.97022161509493,-71.24222761678516
NOTTAWAY,-46.75778031106425,-38.63459294715765,-25.014266045462257,-7.878906193662324,8.351229676602173,21.663974930976686,25.07579281725349,16.79675077384345,9.572429381171343,5.202584654376532,-3.997069468219226,-25.219716339110388,-35.74395444178005,-26.732951554169887,-17.84906087751097,1.3589170453777442,20.356177507991198,25.36588311319602,35.98699853802609,29.1567835048344,10.420618435921591,9.448655021003416,4.656066703924626,8.126180634196096,-21.94640040167519,-42.655298875541355,-32.35721964001982,-19.706398860788667,6.108279240884758,21.986951243117147,32.738796263610624,27.37201714387136,16.975827106591215,8.536748642556745,-1.0264795516770313,-27.250123338861407,-34.62050295802938,-44.15339182831693,-39.45593422958691,-0.37689426766148415,33.382944954239804,41.583059979306384,25.05431990737276,17.202517831685665,23.86759358880881,24.956382882677932,16.698927629858193,-37.546852556139065,-64.30527166997368,-39.384711122467905,-21.29827461997704,-3.1946158721978506,15.17833376701316,34.08691898427725,27.337086809834904,15.674809702066494,1.8034889713291964,0.21440532641155666,11.493831753319185,-11.1179239605973,-36.57413890706452,-23.72408867474839,-26.60006349201809,-7.18941127800021,21.28833391376748,26.866278703670893,33.689957066438716,30.91502295315914,15.137817127250994,9.974680830181526,13.50562856679353,-6.274564096955996,-36.111971734854734,-18.883886987596505,-18.05920549224872,-31.961475775900894,5.5062155686924505,22.296563125907692,18.92674685024113,28.19555470472752,13.041451013763984,4.948886872652782,29.244887559515032,1.0059965932408943,-48.869502812393996,-48.104072662890694,-16.790365768445312,-7.322744074340828,4.395852421654496,15.642720973238044,13.17139724348792,16.919319152234298,12.836163787202535,5.885420731262139,-27.183495214783765,-30.295333983230535,-14.422007307214342,-18.98376769841851,-12.316626358983418,0.21273587556012075,14.807399503359544,22.83836942467969,41.02734517920753,31.886550599415198,0.8834302898104767,5.046014650233809,24.268070983492926,5.360640109570639,-42.27637819116681,-57.120578359963424,-26.531115404269123,-10.526055141575473,1.828862030463032,27.898909004268827,30.735812822358106,22.317395938198093,20.694512510393395,8.610662890353616,-5.891003430257817,-15.2747576693149,-31.080359299257477,-35.669378191190226,-33.10619073574976,-8.20367895894291,25.942533412194344,34.66650652088097,24.954274553724236,16.027053910518095,19.889120598101574,35.958250995776474,38.143453473049455,-8.161591935761784,-62.28891897128784,-70.96863402076244,-38.39063565362646,3.825252160630807,25.888030515483642,27.869386024853334,30.519344003112764,22.059686993365077,7.582713887156405,5.916910821837112,8.564618456974895,16.81897177025503,-22.904969044696607,-53.79601016082799,-29.460389751522182,-17.919162304862773,25.58019430325205,69.10011352149782,27.75926962955533,-13.627118473582918,16.457603293435596,3.2954870968212764,-9.610577441047383,3.475966714981624,-29.931114257117706,-40.37948593926828,-17.871437528553933,-14.396158698224951,-11.85441382737535,17.369790487109945,34.620428113865145,28.24046183459369,8.871895260058995,19.653027805020205,23.52799073962625,-3.4933217731726884,-15.578111547367694,-50.17753712429965,-39.085028271958706,16.994449922189535,25.28096799382339,14.219458076900166,6.7749851516141995,27.321672403356786,37.63757968236784,19.58497860611275,17.883832302841682,3.524839823556192,-67.57944828653585,-107.70292707999708,-73.21001544398085,-29.811363240312254,5.510403506663869,31.50612465674527,47.67385509202086,55.091441527243994,53.99578463071935,41.32458360072438,21.692737596590973,-5.205303751347202,-43.77620980738781,-76.24164696311061,-50.193586655941544,14.260650276296197,40.35572422467705,29.52173513317285,36.4515421312818,8.773773810726109,12.777849457172373,23.871280775112254,26.061885256658968,44.574979420060366,-48.1622211788283,-107.75363635308399,-60.645060638512284,-5.481927765109633,5.8079144333317965,16.524156722895388,39.05863113240408,45.365537821237886,26.872547393466128,9.099582915037212,34.527224139742785,11.364281712592799,-70.85859830502889,-71.1837333545671,-10.289866624034095
TALAS,-12.933018413279777,-19.46763557297096,-25.41263489495116,-29.391509561617408,-23.66425550796493,-6.295887332104147,17.189344669625665,37.49182537586362,38.10377155375517,21.117049278702844,7.491035202904168,7.5473632404717,-4.709726462507046,-28.536893993398753,-31.093235483166794,-20.55610526533008,-18.45833629184289,0.6061522494657936,32.77307728982004,32.25007758706443,25.48996821525747,20.723653185894907,11.449401999712606,-10.590294073187174,-36.493152350954624,-22.308690913205094,-11.871331224463534,-16.667958625870973,-17.945074357497095,-2.541381460461152,28.87042034763985,27.065024502257327,27.080301053533372,22.968051068117727,3.5695145322951944,-8.138998305275521,-22.29284742927217,-26.11589765763938,-24.941283921300034,-15.492092561106901,-8.079901939902099,-3.962564137287739,11.615272047899795,24.614211052476612,29.92287389360733,24.81101987476777,6.341167173569406,-18.02735997505236,-25.063401888586068,-16.26094115994585,-22.038385164158306,-24.340186748987872,-11.62604863896934,9.11705865069628,24.61713753872134,25.024388867981163,17.25489789930991,10.690028480741086,10.625101008001751,-2.530681330038448,-21.233903828397104,-27.139082543706394,-20.174919670560293,-18.226945157181305,-22.167000002999124,-9.757592166699752,21.64147873209008,37.511069197775456,24.855392823767968,20.281059914492744,-0.7713420861448839,-21.60429393396664,-16.136190158927036,-17.23511215648169,-20.861270953890962,-25.874631160554014,-15.039583414965431,6.446629032964302,17.035873066760438,31.439213592397323,21.59142412567947,14.137264383494113,15.301449803858318,-7.3410311728331505,-19.017058421722133,-20.995610136171432,-20.597725653761024,-10.555829503534683,-9.526495378311123,-9.019552743888251,15.0326401714094,46.5159524532907,40.34429951414478,23.03687631484026,17.200032487123796,-10.129922402609493,-30.716605898919287,-22.995828831014514,-19.457197132227726,-23.66335021389889,-14.17442613509502,-0.3069857072054596,16.594264612855312,27.60185714649713,27.3238711285888,19.515497278099254,6.006428689134559,-11.519056872675884,-17.727780517428876,-15.525917265257654,-22.55287209930334,-21.517426137283763,-12.116106119980849,11.239016715703897,36.05810406997404,27.7997753747532,18.232736226834646,16.01701828625391,5.108679840159997,-15.904422981077053,-36.3823382348998,-31.78905629820993,-11.24537036415503,-10.683180206660086,-11.456836750611831,2.7372963169473827,7.5921719967203245,22.15448757380514,34.4981689661928,19.70487305282904,0.36258615941299865,-8.670513051561183,-14.59711250129956,-23.799454556274128,-25.219466684291746,-16.329721006568708,-8.6714740720372,-2.7369682137131406,11.285321232517592,24.344505566549266,36.70180672940265,36.285215635724455,5.565295712799218,-13.556712604418356,-30.05187957631731,-37.33581348808743,-20.044802031765748,-14.653336243770447,-5.412377152801874,12.879233672568624,17.125841920362525,17.562990581176663,23.849277418354845,6.151654461111484,6.134724726534475,12.622910998515884,-17.88121139050278,-37.93165385217024,-33.139402959781016,-10.662452487472487,4.349891898424758,7.6905897077189636,20.08611058804524,41.60420000578733,41.35081827231717,4.412219095779164,-11.82666116552966,-0.04404161951412178,-5.953538091497053,-14.329477392587187,-22.07698344840036,-34.17392774276905,-27.340110269747246,7.692197207258992,52.53467127261964,43.357719469008856,7.089341000570383,12.86951011629056,36.00183476356957,12.044930350733885,-12.190984736359338,2.56508119583917,6.107164844254264,3.9758804151721563,1.677980764297189,-0.6323742259954344,-2.9063532063378474,-5.2955563430930885,-7.811535635815716,-9.704276047994878,-12.12891298929149,-14.921851474155039,-17.50623479410799,-20.242480009329483,-23.454186558597367,-23.981052222686984,-16.757060897429692,0.12088328403573813,24.50439609906672,28.40270339799776,21.673866505199513,19.69666824832585,9.237108304282687,-6.465688308267517,-21.95827119389804,-31.671679000960516,-25.48641186462512,-19.93072643201678,-8.2289338892793,6.2485599706311055,13.961469845678362,33.811429471593144,36.662392463592454,14.210798042703235,-2.4197122264382322,-8.325328972758225,-20.76273837365024,-26.80457274796095,-18.613098622626605
